Country Name,Total Samples,Total Correct Predictions,Total Incorrect Predictions,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Accuracy,Precision,Recall,F1-score,AUC-ROC,AUC-PR
TWN,994,994,0,25,969,0,0,1.0,1.0,1.0,1.0,1.0,1.0000000000000002
TZA,771,770,1,17,753,0,1,0.9987029831387808,1.0,0.9444444444444444,0.9714285714285714,1.0,1.0000000000000002
UGA,371,371,0,4,367,0,0,1.0,1.0,1.0,1.0,1.0,1.0
UKR,907,892,15,271,621,3,12,0.9834619625137817,0.9890510948905109,0.9575971731448764,0.9730700179533214,0.9995526411162454,0.9990027881532639
URY,100,100,0,8,92,0,0,1.0,1.0,1.0,1.0,1.0,1.0
USA,18608,18508,100,12711,5797,62,38,0.9946259673258814,0.9951460111172004,0.9970193740685543,0.9960818117702375,0.9996766778196821,0.9998564610487939
UZB,25,25,0,17,8,0,0,1.0,1.0,1.0,1.0,1.0,1.0
VAT,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
VCT,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
VEN,99,99,0,59,40,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
VGB,1,1,0,1,0,0,0,1.0,1.0,1.0,1.0,Not defined (single class),Not defined (single class)
VNM,993,988,5,819,169,5,0,0.9949647532729103,0.9939320388349514,1.0,0.996956786366403,0.9998175515416895,0.9999612812121192
VUT,1,1,0,0,1,0,0,1.0,0.0,0.0,0.0,Not defined (single class),Not defined (single class)
XKX,38,37,1,31,6,1,0,0.9736842105263158,0.96875,1.0,0.9841269841269841,1.0,0.9999999999999999
YEM,5,5,0,1,4,0,0,1.0,1.0,1.0,1.0,1.0,1.0
ZAF,125,124,1,3,121,0,1,0.992,1.0,0.75,0.8571428571428571,1.0,1.0
ZMB,148,148,0,7,141,0,0,1.0,1.0,1.0,1.0,1.0,0.9999999999999998
ZWE,884,881,3,658,223,0,3,0.996606334841629,1.0,0.9954614220877458,0.9977255496588324,0.9998643175512031,0.9999548555017379
